iter	Passed	Remaining
455	976	1165
456	978	1162
457	980	1159
458	981	1157
459	983	1154
460	984	1151
461	986	1149
462	988	1146
463	989	1143
464	991	1140
465	992	1137
466	994	1135
467	996	1132
468	997	1129
469	999	1127
470	1002	1125
471	1004	1123
472	1006	1121
473	1008	1118
474	1010	1116
475	1012	1114
476	1014	1112
477	1016	1109
478	1018	1107
479	1020	1105
480	1021	1102
481	1023	1099
482	1025	1097
483	1027	1095
484	1028	1092
485	1030	1090
486	1033	1088
487	1034	1085
488	1036	1083
489	1039	1081
490	1040	1078
491	1042	1076
492	1044	1073
493	1045	1070
494	1047	1068
495	1049	1066
496	1051	1063
497	1053	1061
498	1055	1059
499	1057	1057
500	1059	1055
501	1061	1053
502	1064	1052
503	1067	1050
504	1069	1048
505	1073	1047
506	1075	1046
507	1079	1045
508	1085	1047
509	1087	1045
510	1089	1042
511	1091	1040
512	1095	1039
513	1097	1037
514	1137	1071
515	1140	1069
516	1142	1067
517	1188	1105
518	1190	1103
519	1196	1104
520	1198	1101
521	1200	1099
522	1202	1096
523	1204	1094
524	1206	1091
525	1209	1089
526	1211	1087
527	1213	1084
528	1215	1082
529	1219	1081
530	1225	1082
531	1231	1083
532	1234	1081
533	1236	1079
534	1238	1076
535	1240	1074
536	1243	1072
537	1245	1069
538	1247	1066
539	1249	1064
540	1252	1062
541	1254	1060
542	1256	1057
543	1259	1055
544	1261	1053
545	1264	1051
546	1267	1049
547	1269	1047
548	1271	1044
549	1273	1041
550	1275	1039
551	1277	1036
552	1278	1033
553	1280	1030
554	1282	1028
555	1284	1025
556	1285	1022
557	1287	1019
558	1289	1017
559	1290	1014
560	1294	1012
561	1296	1010
562	1298	1008
563	1302	1006
564	1304	1004
565	1305	1001
566	1309	999
567	1311	997
568	1313	995
569	1316	993
570	1319	991
571	1321	989
572	1324	986
573	1326	984
574	1348	996
575	1350	994
576	1352	991
577	1355	989
578	1357	986
579	1359	984
580	1374	991
581	1384	994
582	1386	991
583	1389	989
584	1396	990
585	1399	988
586	1401	986
587	1403	983
588	1407	982
589	1410	980
590	1413	978
591	1415	975
592	1434	984
593	1436	982
594	1439	979
595	1443	978
596	1446	976
597	1449	974
598	1451	971
599	1461	974
600	1467	974
601	1469	971
602	1474	971
603	1477	968
604	1480	966
605	1482	963
606	1485	961
607	1489	960
608	1491	957
609	1493	955
610	1495	952
611	1498	949
612	1499	946
613	1502	944
614	1505	942
615	1507	939
616	1509	937
617	1511	934
618	1514	931
619	1516	929
620	1522	929
621	1525	927
622	1527	924
623	1531	922
624	1535	921
625	1538	918
626	1540	916
627	1545	915
628	1548	913
629	1551	911
630	1553	908
631	1555	905
632	1557	903
633	1559	900
634	1562	897
635	1564	895
636	1568	893
637	1570	891
638	1572	888
639	1573	885
640	1575	882
641	1577	879
642	1579	877
643	1584	876
644	1586	873
645	1589	870
646	1590	867
647	1592	865
648	1594	862
649	1597	860
650	1599	857
651	1602	855
652	1604	852
653	1605	849
654	1607	846
655	1609	843
656	1610	841
657	1613	838
658	1615	835
659	1616	832
660	1618	830
661	1620	827
662	1622	824
663	1624	822
664	1626	819
665	1628	816
666	1630	814
667	1632	811
668	1634	808
669	1635	805
670	1638	803
671	1640	800
672	1643	798
673	1645	796
674	1647	793
675	1649	790
676	1651	787
677	1653	785
678	1655	782
679	1659	780
680	1662	778
681	1664	775
682	1665	773
683	1667	770
684	1669	767
685	1671	764
686	1673	762
687	1675	760
688	1677	757
689	1679	754
690	1681	751
691	1682	748
692	1684	746
693	1685	743
694	1687	740
695	1691	738
696	1693	735
697	1694	733
698	1696	730
699	1698	727
700	1700	725
701	1702	722
702	1705	720
703	1707	717
704	1709	715
705	1710	712
706	1713	710
707	1715	707
708	1717	704
709	1720	702
710	1722	700
711	1723	697
712	1725	694
713	1727	691
714	1729	689
715	1731	686
716	1732	683
717	1736	681
718	1737	679
719	1739	676
720	1740	673
721	1742	670
722	1744	668
723	1745	665
724	1747	662
725	1749	660
726	1752	657
727	1754	655
728	1755	652
729	1757	650
730	1759	647
731	1761	644
732	1763	642
733	1766	640
734	1768	637
735	1769	634
736	1771	632
737	1773	629
738	1775	627
739	1777	624
740	1779	621
741	1782	619
742	1783	617
743	1785	614
744	1787	611
745	1789	609
746	1791	606
747	1793	604
748	1795	601
749	1797	599
750	1799	596
751	1801	594
752	1803	591
753	1805	589
754	1808	586
755	1811	584
756	1814	582
757	1816	580
758	1819	577
759	1821	575
760	1823	572
761	1827	570
762	1829	568
763	1831	565
764	1832	563
765	1834	560
766	1836	557
767	1839	555
768	1841	553
769	1844	550
770	1846	548
771	1848	545
772	1849	543
773	1851	540
774	1854	538
775	1855	535
776	1859	533
777	1860	530
778	1863	528
779	1865	526
780	1866	523
781	1868	520
782	1870	518
783	1872	515
784	1874	513
785	1876	510
786	1877	508
787	1879	505
788	1881	503
789	1883	500
790	1884	498
791	1886	495
792	1889	493
793	1891	490
794	1892	488
795	1894	485
796	1896	483
797	1898	480
798	1900	477
799	1901	475
800	1904	473
801	1906	470
802	1907	468
803	1910	465
804	1911	463
805	1913	460
806	1915	458
807	1919	456
808	1922	453
809	1924	451
810	1926	448
811	1928	446
812	1930	443
813	1931	441
814	1935	439
815	1937	436
816	1938	434
817	1940	431
818	1942	429
819	1943	426
820	1945	424
821	1947	421
822	1949	419
823	1951	416
824	1952	414
825	1954	411
826	1956	409
827	1958	406
828	1959	404
829	1961	401
830	1964	399
831	1966	397
832	1968	394
833	1970	392
834	1972	389
835	1974	387
836	1976	384
837	1978	382
838	1980	379
839	1982	377
840	1983	375
841	1985	372
842	1987	370
843	1988	367
844	1991	365
845	1994	363
846	1996	360
847	1998	358
848	2000	355
849	2001	353
850	2003	350
851	2005	348
852	2007	345
853	2009	343
854	2011	341
855	2013	338
856	2016	336
857	2018	334
858	2020	331
859	2022	329
860	2025	327
861	2028	324
862	2030	322
863	2032	319
864	2035	317
865	2038	315
866	2040	313
867	2042	310
868	2044	308
869	2047	305
870	2049	303
871	2053	301
872	2056	299
873	2058	296
874	2060	294
875	2063	292
876	2067	289
877	2068	287
878	2073	285
879	2075	283
880	2078	280
881	2080	278
882	2082	275
883	2084	273
884	2086	271
885	2088	268
886	2091	266
887	2095	264
888	2098	261
889	2100	259
890	2102	257
891	2112	255
892	2116	253
893	2122	251
894	2124	249
895	2129	247
896	2132	244
897	2136	242
898	2143	240
899	2146	238
900	2148	236
901	2150	233
902	2152	231
903	2155	228
904	2164	227
905	2166	224
906	2168	222
907	2174	220
908	2177	217
909	2179	215
910	2181	213
911	2182	210
912	2185	208
913	2187	205
914	2190	203
915	2193	201
916	2196	198
917	2200	196
918	2202	194
919	2205	191
920	2206	189
921	2210	186
922	2212	184
923	2214	182
924	2217	179
925	2220	177
926	2222	175
927	2224	172
928	2226	170
929	2229	167
930	2232	165
931	2235	163
932	2236	160
933	2239	158
934	2242	155
935	2247	153
936	2250	151
937	2252	148
938	2253	146
939	2255	143
940	2257	141
941	2259	139
942	2261	136
943	2263	134
944	2264	131
945	2267	129
946	2268	126
947	2271	124
948	2272	122
949	2275	119
950	2277	117
951	2279	114
952	2281	112
953	2282	110
954	2284	107
955	2286	105
956	2289	102
957	2293	100
958	2295	98
959	2297	95
960	2299	93
961	2301	90
962	2303	88
963	2305	86
964	2307	83
965	2310	81
966	2312	78
967	2314	76
968	2317	74
969	2319	71
970	2322	69
971	2324	66
972	2326	64
973	2328	62
974	2330	59
975	2332	57
976	2334	54
977	2336	52
978	2338	50
979	2339	47
980	2341	45
981	2343	42
982	2345	40
983	2347	38
984	2349	35
985	2353	33
986	2355	31
987	2358	28
988	2359	26
989	2361	23
990	2363	21
991	2365	19
992	2368	16
993	2370	14
994	2371	11
995	2373	9
996	2376	7
997	2377	4
998	2379	2
999	2381	0
